Kernel,Filesize,Blocksize,Round,Write,Read
4.15.0-42-generic,524288,8192,31,20800000,22400000
4.15.0-42-generic,524288,8192,32,14000000,22100000
4.15.0-42-generic,524288,8192,33,14000000,23500000
4.15.0-42-generic,524288,8192,34,20100000,22700000
4.15.0-42-generic,524288,8192,35,19500000,20300000
4.15.0-42-generic,524288,8192,36,19900000,19400000
4.15.0-42-generic,524288,8192,37,13300000,30500000
4.15.0-42-generic,524288,8192,38,19200000,31300000
4.15.0-42-generic,524288,8192,39,20900000,19300000
4.15.0-42-generic,524288,8192,40,13400000,26800000
4.15.0-42-generic,524288,8192,41,13300000,20900000
4.15.0-42-generic,524288,8192,42,13600000,21700000
4.15.0-42-generic,524288,8192,43,20600000,21100000
4.15.0-42-generic,524288,8192,44,21100000,21600000
4.15.0-42-generic,524288,8192,45,19700000,31600000
4.15.0-42-generic,524288,8192,46,13500000,22500000
4.15.0-42-generic,524288,8192,47,20300000,22300000
4.15.0-42-generic,524288,8192,48,19200000,31000000
4.15.0-42-generic,524288,8192,49,14000000,22600000
4.15.0-42-generic,524288,8192,50,19800000,23100000
4.15.0-42-generic,524288,8192,51,20500000,23000000
4.15.0-42-generic,524288,8192,52,13600000,25000000
4.15.0-42-generic,524288,8192,53,19300000,30300000
4.15.0-42-generic,524288,8192,54,13700000,22900000
4.15.0-42-generic,524288,8192,55,13800000,19700000
4.15.0-42-generic,524288,8192,56,19400000,25100000
4.15.0-42-generic,524288,8192,57,19300000,25800000
4.15.0-42-generic,524288,8192,58,19800000,28000000
4.15.0-42-generic,524288,8192,59,14400000,20700000
4.15.0-42-generic,524288,8192,60,17900000,21500000
4.15.0-42-generic,524288,8192,61,19300000,22300000
4.15.0-42-generic,524288,8192,62,19400000,18900000
4.15.0-42-generic,524288,8192,63,27500000,30300000
4.15.0-42-generic,524288,8192,64,13300000,25700000
4.15.0-42-generic,524288,8192,65,19600000,23400000
4.15.0-42-generic,524288,8192,66,19700000,26000000
4.15.0-42-generic,524288,8192,67,19100000,23300000
4.15.0-42-generic,524288,8192,68,20600000,21900000
4.15.0-42-generic,524288,8192,69,13900000,22600000
4.15.0-42-generic,524288,8192,70,14600000,22100000
4.15.0-42-generic,524288,8192,71,13100000,19800000
4.15.0-42-generic,524288,8192,72,20400000,23500000
4.15.0-42-generic,524288,8192,73,13900000,21700000
4.15.0-42-generic,524288,8192,74,14100000,21900000
4.15.0-42-generic,524288,8192,75,19000000,23400000
4.15.0-42-generic,524288,8192,76,19500000,20000000
4.15.0-42-generic,524288,8192,77,20600000,17900000
4.15.0-42-generic,524288,8192,78,20600000,28400000
4.15.0-42-generic,524288,8192,79,19400000,22000000
4.15.0-42-generic,524288,8192,80,19000000,22600000
4.15.0-42-generic,524288,8192,81,23200000,25100000
4.15.0-42-generic,524288,8192,82,19400000,23100000
4.15.0-42-generic,524288,8192,83,20100000,35100000
4.15.0-42-generic,524288,8192,84,12800000,22600000
4.15.0-42-generic,524288,8192,85,13500000,20900000
4.15.0-42-generic,524288,8192,86,10700000,25100000
4.15.0-42-generic,524288,8192,87,20600000,21500000
4.15.0-42-generic,524288,8192,88,21200000,29900000
4.15.0-42-generic,524288,8192,89,15900000,20200000
4.15.0-42-generic,524288,8192,90,18600000,18800000
4.15.0-42-generic,524288,8192,91,18500000,23100000
4.15.0-42-generic,524288,8192,92,12300000,20500000
4.15.0-42-generic,524288,8192,93,13700000,21300000
4.15.0-42-generic,524288,8192,94,13800000,22100000
4.15.0-42-generic,524288,8192,95,13100000,19800000
4.15.0-42-generic,524288,8192,96,13400000,22700000
